0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0.5236221,-0.5913956,-0.54651517,-0.73635066,0.13329509,0.3442167,-0.67197937,0.099998586,-1.1409148,-0.23266488,-0.5570622,0.051957615,-2.1316195,-0.33910662,0.9269656,0.24552195,-0.60626626,-0.21927026,-1.4300418,-1.0822337,-1.0058533,-0.26209983,0.21733366,-0.3269017,-0.049464557,-0.1936519,-0.34294492,-0.0847192,1.0347209,-0.213014,-4.085842,-0.67754936,0.24685726,-0.43023667,-0.8397058,-1.2102052,0.8697051,-0.6336633,0.19813344,0.3550035,0.1521017,-1.6903485,1.2285365,0.424195,0.6437311,0.077560365,-0.768912,0.6202412,0.60753083,-0.3892009,-1.0658239,-0.02643563,0.17556933,0.39189076,0.28263313,0.51942027,-1.4353704,-0.109231085,-0.55403495,0.05850732,-0.025790004,0.8739369,0.2724529,1.3322859,-0.82715833,-0.5138745,0.27202237,-0.20711483,-0.5117536,0.015539908
-0.45296448,0.6365992,-0.3252832,-0.9397057,-0.73776203,-1.1438097,0.9468031,-0.6121066,-0.74743956,0.17420596,1.1306958,-0.1396267,-1.5961627,1.0835758,1.1168418,-1.5862647,0.98229694,-0.13807751,0.60769385,-2.6445727,0.60040534,-1.0263208,-0.45700103,-2.328128,0.26429376,1.1892633,1.2885985,-0.0656813,-0.24292539,-0.08282885,4.181836,1.0712997,-0.62757534,-0.33716586,7.7351556,-0.70354605,-0.40106568,0.013036307,0.5215765,4.7392426,0.3929724,0.75692767,-1.0046291,-0.6494108,-1.0574349,0.06252706,1.153413,-0.5689379,-1.4640698,0.634119,0.10893022,-0.33812034,-0.1534059,-0.17418842,-0.21016783,1.1729339,2.6048372,2.0044513,-0.006214438,-0.6845644,-0.615315,-0.80420214,-0.15800565,-1.287778,-0.059356235,-0.69144535,1.8260156,0.901841,2.3369462,0.13431247
0.34390825,0.08312443,-0.11982906,-0.40306112,-0.14538676,0.69522655,-0.5057623,-0.20934646,-0.6828621,0.2814957,0.21902078,-0.10524859,2.5974245,-0.2544446,0.83591723,-0.022140402,-0.4925909,-0.05197727,-0.11969132,0.52188957,-0.28093877,-0.056585483,0.084954776,-0.48435432,-0.6369724,0.07340512,0.013990357,0.12645441,0.7139878,-0.34307405,-4.3959455,0.2348886,0.3553334,0.18608952,-0.50224316,-0.066787004,0.4933509,-0.176815,0.3780539,-0.011609405,0.58469355,0.34189302,-1.7771156,-0.07874257,-0.12059928,0.2673667,-0.33179268,0.043487176,1.1079475,0.20713472,0.064763546,-0.41456413,-0.16423766,-0.36033392,0.10569434,-0.27614486,-0.494673,-1.5380703,0.03827116,-0.254712,0.10850002,-0.4000293,0.4979367,0.374319,-0.5594223,0.70164275,0.27825546,0.6558281,0.95768106,-0.16197021
-0.3011153,0.95773345,0.44655973,-0.49354103,-0.1538898,0.8756694,0.46750283,0.115088455,0.042240735,0.62316895,-0.8313215,-0.16556427,0.99555635,1.1485298,0.5698686,-0.47158492,1.3263686,-0.051226966,-0.76630324,-0.1799062,0.889742,0.5311917,-0.6685052,-0.68321055,0.5381717,2.060202,-0.3052284,0.36733723,-1.0056275,0.4580794,5.4265866,0.87146366,0.18690169,-0.3323421,10.307439,1.0069119,-0.19232336,1.181799,-2.047212,-0.89114714,-0.4031184,1.0364386,1.1751428,-0.057426862,-0.48492408,0.6968101,0.44472098,0.4641091,-1.0018543,0.9285135,0.4152444,-0.56499916,1.1003203,0.17419927,-1.1114519,0.39933482,0.9868941,1.5744339,-0.52933663,-0.42585018,-0.34745076,1.2154087,-0.23644951,-0.50568515,-0.14035667,-0.03078181,1.2374395,1.2545393,-1.0218377,-0.28251478
0.19286707,0.031125713,0.11852256,-0.26846066,0.22473934,-0.6663006,-0.36706236,-0.6355338,0.39517504,-2.3052578,-0.1758218,-0.5798993,0.1868497,-0.84254116,-0.18696772,-0.57201016,0.03741026,0.4407935,0.4412668,-0.7254037,-0.52070904,1.5078403,0.19892094,0.07015048,-0.2885729,-0.11401499,-0.51407737,-0.3399628,1.348441,-0.4755772,8.38294,-0.22049491,-0.13592921,1.2180914,-4.963613,-0.5000264,-0.4861414,-1.4818828,1.0079858,-0.5389781,0.7257245,-1.5899353,0.28808233,0.666287,1.8628104,-0.053595554,0.4706965,0.43434078,1.0046235,-1.5693948,0.6857571,-0.16628538,-0.16191635,0.35136685,-0.099379785,1.6846712,-0.68162143,-1.3225608,0.27871865,0.6921886,0.21588194,0.85596526,-0.0056364443,0.1572669,-0.8901321,0.87572014,0.75288284,0.27801397,0.17026415,-0.3677629
-0.41932875,0.8483487,0.5764616,0.60772103,-0.6139926,-0.28790295,0.12774436,0.44811496,0.274066,0.047510874,-1.2015631,0.6479537,-2.3988988,0.4723329,0.46632963,-1.2299986,0.7790333,0.2755404,0.7696702,0.3740926,0.7840582,-0.031055612,-0.18991752,-1.0833116,0.2759096,1.3424411,-0.9553348,-0.47856408,-1.4071503,0.83702356,3.8202446,0.91665435,-0.20840164,0.6152804,9.379887,1.3714904,-0.59635246,0.7220757,-2.3793113,-1.3068016,0.71766037,1.7483537,-0.7156463,0.2343609,-0.53414655,0.63929796,0.18132448,-0.7165833,-0.7237068,1.3900543,1.6345477,0.33001357,0.73766893,0.8301892,-0.9600818,0.9842572,1.191628,4.4221735,-0.9631433,-0.14094079,-0.038763024,-2.5222583,-0.5061339,0.060327787,0.36576062,-0.27973515,-0.52654374,1.0605041,0.06689362,-0.566042
0.62050956,0.53325677,-0.75598335,-0.19994265,-0.1994625,0.1516163,0.0586445,-0.228588,-0.052241478,-1.0141267,0.5837632,-0.7919003,-0.77734315,0.10473051,-0.3113557,-0.1956373,-0.32505265,0.08561714,-0.15981966,-0.4005631,-0.022705514,0.101119556,0.46608907,-0.32072845,0.13022666,-0.1364575,0.14397807,0.15102701,0.85113764,0.55675924,8.216377,0.03983295,0.076716036,0.6618227,-5.820351,-0.0007801214,0.34642884,-0.08365372,0.1541006,-1.2620934,-0.5646184,-0.23474029,-0.01761761,0.2526719,-0.41231966,0.50197583,0.34678185,-0.060085118,0.8904436,-1.0919597,-0.09881573,0.41793793,-0.11747234,-0.18988474,-0.38146967,0.78891146,-0.7740426,-0.9261658,0.14907196,0.4373256,-0.086711675,-0.40624487,-0.029132655,-0.0035614716,-0.37441653,0.34288317,0.21368533,-0.24820922,-0.41067424,0.097491026
-0.27373978,0.15256521,-0.56032634,0.9143331,1.0629869,-2.8156674,-0.2688956,-0.05552126,-2.1394632,0.4335815,0.29175982,0.3766027,2.3945253,1.3032097,-0.36048967,0.14064072,-0.21746466,-0.39180169,1.1668789,-1.0056814,1.2717507,-4.4253616,-0.5655614,0.27917627,-2.55028,0.8144214,0.5178825,-0.36216483,-0.47098336,0.91402006,2.1022549,1.3682005,-0.5387298,-0.7208693,2.5341241,0.39898023,-0.057188302,-1.899798,5.7360578,2.0287783,0.4750625,1.133543,1.3035568,-0.504137,1.5159545,1.8782958,-0.7951217,-5.179256,-3.2229526,-0.16350096,-2.2249546,-0.83487034,1.9101069,-0.41976085,-0.46991485,0.12762155,0.73327273,-0.4154438,0.86288327,-2.4858189,-0.06262978,-1.6040146,-0.30051944,-0.77169853,0.32135874,-2.7415094,1.5233375,1.099737,3.4277108,-0.09254448
0.36467496,-0.21392822,-0.043780535,0.19012424,0.21389738,-0.75628984,0.4210156,0.19133529,-0.1407235,-0.035332758,-0.07193903,-0.16444275,-0.6828326,-0.7411447,0.79279935,-0.050378677,-0.03715533,-0.23660968,-0.61503005,0.13913295,-0.30650604,-0.40181816,0.22732872,0.47703382,-0.14784686,0.03175438,0.15924402,-0.02163393,0.591209,-0.13495444,9.30466,-0.02959992,0.09830955,-0.10023071,-6.7436314,-0.062279142,-0.025792694,0.32795694,-0.07923573,0.26586714,-0.9833387,0.7448156,-0.1246326,-0.012921757,0.46456826,-0.043876987,-0.10667959,0.32924587,0.999309,0.083723746,-0.5429637,0.07142886,-0.08388278,-0.77880216,0.23955095,-0.1253741,-0.007280077,-1.3050224,-0.040695757,-0.044931192,0.25137487,0.105073,-0.14134851,-0.13509981,0.44087088,-0.13016659,0.10882762,-0.5201922,-0.023521658,0.10491304
-0.18951942,0.41542122,0.085416034,-0.36192766,0.31467703,-1.010278,0.041862603,0.7453112,1.1023438,-0.420135,0.44360518,0.04312312,0.17870082,-0.4093597,-0.37539315,0.3355039,-0.2576467,-0.19717795,-0.94702363,-0.47594127,-0.7404958,-0.1116458,-0.114835374,0.10075461,0.12025362,0.10338464,-0.01059112,-0.17798604,0.88421416,-0.09474936,-4.0641136,0.092626706,-0.7345907,-0.16266863,-0.6075819,0.059634656,-0.55763835,0.7806638,0.2099829,-0.21104302,-0.6552956,0.15836293,-1.9211142,0.9126092,0.6563362,0.42093033,0.491258,-0.17898324,0.543051,-0.647738,-0.3462837,0.026941875,-0.63105893,-0.54143345,-0.1834221,0.4354172,-0.5424898,-1.2035043,-0.36631835,0.5357337,-0.28450564,0.6403539,-0.16284615,0.16740254,0.36501867,-0.15051375,0.47876322,-0.13820699,-0.76843184,-0.25853866
