0,1,2,3,4
2.1945107,585.8804,-6.61779,19.513454,-16.267527
5.7223988,585.52875,-6.744438,25.779505,-21.387524
5.8329787,586.20044,-6.2694387,29.476297,-26.905283
6.489017,585.8602,-6.5308924,30.318748,-27.280054
7.3603287,586.5642,-6.9161367,32.458717,-29.23515
6.659567,586.27515,-6.845333,31.656967,-28.673954
0.6299919,585.00366,-6.56553,15.176042,-11.685104
7.3794084,585.27356,-7.309103,31.43135,-26.425793
4.8466277,585.19556,-7.0371113,26.366852,-22.828857
7.251394,585.7353,-6.528905,30.311466,-26.082003
6.027416,586.32733,-6.640731,29.878096,-27.280657
7.1957507,586.323,-6.5315685,31.6418,-28.717491
27.005688,587.7822,2.7224708,13.6645155,17.171593
19.510302,586.5569,2.2179356,8.836176,16.69799
21.507006,587.8686,0.79043293,9.219689,18.361801
20.372583,587.06616,0.18707657,10.823889,16.770142
27.996462,588.8118,3.1126156,14.15659,17.415358
23.795094,589.47705,-0.7285261,12.493897,18.028376
22.72538,588.8852,0.18043613,9.482225,19.464231
24.6123,587.86847,2.5562687,13.078365,15.821398
27.156725,587.45056,3.634647,13.169167,17.17836
19.589157,589.1048,-1.062458,9.310087,17.667217
24.094358,588.8559,1.0142021,9.441498,19.705034
24.117626,588.14136,1.4432087,7.885341,21.332441
25.89186,588.6482,1.9144249,8.898479,20.82996
17.757858,585.50336,3.277029,4.6097865,18.09743
19.00844,588.0373,-0.03195381,6.6997423,19.90716
25.298704,589.3027,1.4738398,8.538626,20.811335
23.68165,589.0147,0.5987587,10.32914,18.433796
25.14517,589.1061,0.40788555,10.572662,19.347584
23.035484,588.6567,1.1502686,8.658407,19.231497
28.785912,588.09174,3.6589394,13.027721,18.939674
24.44156,589.1412,0.78076744,10.311466,19.023071
24.055195,589.2411,1.7407236,6.8555875,20.967928
23.58925,587.2042,2.739367,9.942713,18.00477
29.53168,589.4851,2.4441977,11.858244,19.578533
28.853634,588.5336,3.5059032,12.320705,19.852856
21.30798,588.9428,2.2359028,4.2616673,21.465542
20.873959,588.63855,-1.2522573,9.353357,19.273886
29.444818,588.41534,3.805581,13.354429,18.754967
26.654404,586.79895,4.280527,12.991678,16.951107
25.812145,587.8761,2.6272511,11.686487,18.144516
26.992975,588.0219,2.8903022,11.697544,18.759071
27.875511,587.3976,4.244258,13.097734,17.425869
18.874489,589.0992,-0.39914417,4.770335,21.347095
27.512148,586.7819,4.325792,14.551779,15.450131
24.71453,588.3838,3.0175228,13.969797,14.552292
27.816715,587.5864,4.0823836,13.10285,17.910671
22.00332,589.4283,-0.8529444,11.567404,17.40104
21.99799,588.4467,2.332416,6.5704436,19.796627
18.968939,587.6835,2.2595606,3.9948506,20.179205
21.212439,588.58105,1.8645597,5.2673283,21.237608
25.718412,588.6674,2.5444808,8.969884,19.57996
24.125973,589.8261,-0.99448967,13.178432,17.136164
27.01062,587.9271,4.071522,12.0125885,17.897886
22.620403,587.2707,3.1465478,9.597961,17.942688
21.789963,588.05774,2.3306394,6.920038,19.081043
29.003311,589.5474,1.9991279,11.40937,20.514454
-10.357732,598.6303,4.0143757,-17.451187,3.2101257
-8.243369,598.2897,2.7978425,-16.383492,6.980212
-8.652411,599.3918,4.6433334,-17.310959,4.448677
-9.469084,598.45026,3.6033869,-16.73879,4.997968
-8.0665655,596.54333,4.8654923,-16.349888,5.1163044
-8.757516,597.2903,3.691597,-15.636614,5.6598773
-9.910102,596.9981,3.180035,-17.067081,5.415448
-9.252551,597.8605,4.9654274,-17.581287,4.033317
-8.742175,598.3539,3.1577091,-15.552606,4.91611
-9.057563,597.57324,5.1667447,-16.581635,2.44391
-8.939475,599.0956,5.5346293,-16.26482,1.9015343
-9.9642935,597.2579,3.3306565,-17.231949,5.124806
-10.457023,597.4908,4.840645,-17.87902,3.5846386
-9.034374,599.0776,3.669218,-15.459482,3.7417922
-9.183666,598.40765,3.7491436,-16.009056,4.389491
